"
Street Name",Str Type,Region,Str Dir,Post Dir,Address Low Number,Address High Number,Odd Even,"
Zip","
Precinct","Town 
Precinct","
Cong","
Sen","
Hse"
ALGRETUS,DR,A,,,14603,14725,B,20120,903,,10,34,67
BARRYMORE,RD,A,,,5620,5809,B,20120,921,,10,34,40
BATAVIA,DR,A,,,14605,14713,B,20120,903,,10,34,67
BATTERY RIDGE,CT,A,,,14501,14535,B,20120,910,,11,37,37
BATTERY RIDGE,LN,A,,,14500,14647,B,20120,910,,11,37,37
BAUGHER,DR,A,,,14600,14704,B,20120,903,,10,34,67
BOYDELL,DR,A,,,14921,14931,B,20120,921,,10,34,40
CARLBERN,DR,A,,,14700,15123,B,20120,921,,10,34,40
CAT TAIL,CT,A,,,5300,5314,B,20120,903,,10,34,67
CLARET,PL,A,,,5700,5701,B,20120,921,,10,34,40
CRANOKE,ST,A,,,14700,14910,B,20120,921,,10,34,40
CREEK BRANCH,CT,A,,,14491,14587,B,20120,903,,10,34,67
CRENSHAW,DR,A,,,14617,14727,B,20120,903,,10,34,67
CRISTO,CT,A,,,13901,13920,B,20120,921,,10,34,40
DEVIAR,DR,A,,,13900,13942,B,20120,921,,10,34,40
DUMAS,CT,A,,,15209,15215,B,20120,921,,10,34,40
EDDY,CT,A,,,14500,14552,B,20120,903,,10,34,67
EUPHRATES,CT,A,,,5600,5613,B,20120,921,,10,34,40
FLAGLER,CT,A,,,14700,14717,B,20120,921,,10,34,40
FLAGLER,DR,A,,,5600,5728,B,20120,921,,10,34,40
GLEN MEADOW,CT,A,,,5105,5129,B,20120,903,,10,34,67
GLEN MEADOW,DR,A,,,5104,5266,B,20120,903,,10,34,67
GLEN MEADOW,PL,A,,,5255,5283,B,20120,903,,10,34,67
GLEN MEADOW,RD,A,,,5200,5270,B,20120,903,,10,34,67
GREYMONT,DR,A,,,14900,15053,B,20120,921,,10,34,40
HARVEST,CT,A,,,14800,14816,B,20120,903,,10,34,67
HIBNER,ST,A,,,5802,5802,E,20120,921,,10,34,40
Hills,CT,A,S,,14500,14535,B,20120,903,,10,34,67
HONSENA,DR,A,,,15101,15216,B,20120,921,,10,34,40
HUNTING PATH,PL,A,,,14800,14830,B,20120,903,,10,34,67
JARNIGAN,ST,A,,,14701,14737,B,20120,921,,10,34,40
JARSKI,CT,A,,,15000,15014,B,20120,921,,10,34,40
JASLOW,ST,A,,,14903,14939,B,20120,921,,10,34,40
KAMPUTA,DR,A,,,14700,15117,B,20120,921,,10,34,40
LALOS,ST,A,,,5602,5605,B,20120,921,,10,34,40
LAMPEC,ST,A,,,14920,14927,B,20120,921,,10,34,40
LILVA,DR,A,,,14602,14641,B,20120,903,,10,34,67
LOCK,DR,A,,,14513,14727,B,20120,903,,10,34,67
MACKENZIE,ST,A,,,5700,5719,B,20120,921,,10,34,40
MCCONNELL,CT,A,,,15211,15216,B,20120,921,,10,34,40
MUNSEY,PL,A,,,5500,5505,B,20120,921,,10,34,40
OAKMERE,DR,A,,,14501,14563,B,20120,903,,10,34,67
OLDDALE,RD,A,,,15001,15148,B,20120,921,,10,34,40
OTTAWA,RD,A,,,5602,5815,B,20120,921,,10,34,40
OVERLAND,CT,A,,,5400,5411,B,20120,921,,10,34,40
PAMELA,DR,A,,,5702,5826,B,20120,921,,10,34,40
PONDERLAY,DR,A,,,15002,15017,B,20120,921,,10,34,40
RITCHIE,RD,A,,,14901,14925,B,20120,921,,10,34,40
ROWENA,DR,A,,,5597,5635,B,20120,921,,10,34,40
SCHOOLFIELD,CT,A,,,5600,5626,B,20120,921,,10,34,40
SNELLINGS,CT,A,,,15210,15214,B,20120,921,,10,34,40
SOUCY,PL,A,,,14629,14643,B,20120,921,,10,34,40
SULLY STATION,DR,A,,,5301,5301,B,20120,903,,10,34,67
SUN MEADOW,CT,A,,,14800,14818,B,20120,903,,10,34,67
TARLETON,DR,A,,,15002,15016,B,20120,921,,10,34,40
ULDERIC,DR,A,,,15002,15015,B,20120,921,,10,34,40
VINSON,PL,A,,,5500,5503,B,20120,921,,10,34,40
WILDFLOWER,CT,A,,,14700,14709,B,20120,903,,10,34,67
WOOD HOME,RD,A,,,14801,14840,B,20120,921,,10,34,40
WOODFORD,DR,A,,,5100,5148,B,20120,903,,10,34,67
BRADDOCK,RD,A,,,14640,14812,E,20120,903,,10,34,67
BRADDOCK,RD,A,,,14707,15125,O,20120,921,,10,34,40
BRADDOCK,RD,A,,,15309,15309,O,20120,915,,10,37,40
BRADDOCK,RD,A,,,15400,15400,E,20120,904,,10,37,67
BRADDOCK,RD,A,,,15415,15415,O,20120,915,,10,37,40
BRADDOCK,RD,A,,,15621,15621,O,20120,915,,10,37,40
CHANDLEY FARM,CIR,A,,,5265,5461,B,20120,915,,10,37,40
CHANDLEY FARM,CT,A,,,5400,5441,B,20120,915,,10,37,40
CLUBSIDE,LN,A,,,5400,5441,B,20120,921,,10,34,40
CUB RUN PARK,DR,A,,,14901,14936,B,20120,921,,10,34,40
FARMING,WAY,A,,,14600,14622,B,20120,903,,10,34,67
HARTLAUB,CT,A,,,14800,14808,B,20120,921,,10,34,40
HONEYSUCKLE,CT,A,,,5200,5212,B,20120,903,,10,34,67
KIMANNA,DR,A,,,5200,5314,B,20120,903,,10,34,67
LATSHAW,RD,A,,,5510,5511,B,20120,921,,10,34,40
RABBIT RUN,CT,A,,,14700,14710,B,20120,903,,10,34,67
ROSALIE RIDGE,DR,A,,,5200,5215,B,20120,915,,10,37,40
SMITHWOOD,DR,A,,,14500,14552,B,20120,903,,10,34,67
STARRY NIGHT,LN,A,,,15010,15025,B,20120,921,,10,34,40
STONEY BRANCH,CT,A,,,5214,5252,B,20120,903,,10,34,67
TRE TOWERS,CT,A,,,5190,5190,E,20120,915,,10,37,40
TRE TOWERS,CT,A,,,5200,5200,E,20120,915,,10,37,40
TRE TOWERS,CT,A,,,5210,5210,E,20120,915,,10,37,40
TRE TOWERS,CT,A,,,5220,5220,E,20120,915,,10,37,40
TRE TOWERS,CT,A,,,5230,5230,E,20120,915,,10,37,40
WINDRIFT,CT,A,,,14800,14808,B,20120,903,,10,34,67
OLD LEE,RD,A,,,14650,15150,B,20151,904,,10,37,67
AFFINITY,CT,B,,,5300,5310,B,20120,903,,10,34,67
BELLE PLAINS,DR,B,,,5200,5245,B,20120,903,,10,34,67
BELLE POND,DR,B,,,5510,5537,B,20120,917,,10,34,67
BRADDOCK RIDGE,DR,B,,,5300,5487,B,20120,903,,10,34,67
BRAYWOOD,DR,B,,,5200,5255,B,20120,903,,10,34,67
BUGGY WHIP,DR,B,,,5406,5538,B,20120,917,,10,34,67
CALIPER,CT,B,,,5300,5314,B,20120,903,,10,34,67
CASTLE HARBOR,WAY,B,,,5100,5138,B,20120,903,,10,34,67
CEDAR BREAK,DR,B,,,5520,5599,B,20120,917,,10,34,67
COACHWAY,DR,B,,,14400,14427,B,20120,917,,10,34,67
ELKHEART,CT,B,,,5200,5212,B,20120,903,,10,34,67
FALLSCLIFF,LN,B,,,14401,14468,B,20120,903,,10,34,67
FARM POND,CT,B,,,14600,14619,B,20120,903,,10,34,67
FENCE POST,CT,B,,,5501,5517,B,20120,903,,10,34,67
FILLY,CT,B,,,14400,14409,B,20120,917,,10,34,67
FIRE FOX,RUN,B,,,5500,5501,B,20120,917,,10,34,67
FLOURCASTLE,CT,B,,,14380,14399,B,20120,917,,10,34,67
GLADEWRIGHT,DR,B,,,5391,5446,B,20120,917,,10,34,67
GLENCREST,CIR,B,,,14401,14484,B,20120,903,,10,34,67
GOLDMOORE,CT,B,,,5407,5421,B,20120,917,,10,34,67
GORDON,DR,B,,,5300,5307,B,20120,903,,10,34,67
GULLIVER,RD,B,,,14380,14397,B,20120,903,,10,34,67
HEDGEROW,CT,B,,,5408,5417,B,20120,903,,10,34,67
JACOB,LN,B,,,14339,14356,B,20120,917,,10,34,67
JAMESON,CT,B,,,14285,14290,B,20120,917,,10,34,67
LOCUST GROVE,CT,B,,,14349,14355,B,20120,903,,10,34,67
NANDINA,CT,B,,,14363,14374,B,20120,917,,10,34,67
NORTH SLOPE,ST,B,,,14364,14453,B,20120,903,,10,34,67
Oshay,Ct,B,,,14285,14289,B,20120,917,,10,34,67
PATRIARCH,CT,B,,,14285,14290,B,20120,917,,10,34,67
QUAIL POND,CT,B,,,14364,14378,B,20120,917,,10,34,67
QUAIL POND,CT,B,,,14379,14390,B,20120,903,,10,34,67
RED BARN,CT,B,,,14404,14411,B,20120,903,,10,34,67
ROUND LICK,LN,B,,,14361,14432,B,20120,903,,10,34,67
SEQUOIA FARMS,DR,B,,,5101,5366,B,20120,903,,10,34,67
SEQUOIA FARMS,DR,B,,,5399,5588,B,20120,917,,10,34,67
SHIPLEY,CT,B,,,5500,5537,B,20120,917,,10,34,67
SOUR GUM,DR,B,,,5408,5422,B,20120,903,,10,34,67
TREE LINE,DR,B,,,5408,5456,B,20120,903,,10,34,67
VIRGIN ROCK,RD,B,,,5508,5534,B,20120,917,,10,34,67
WINDING WOODS,CT,B,,,14300,14348,B,20120,903,,10,34,67
WINDING WOODS,DR,B,,,5101,5147,B,20120,903,,10,34,67
WOODFIELD,DR,B,,,5100,5209,B,20120,903,,10,34,67
WOODLEAF,CT,B,,,5200,5231,B,20120,903,,10,34,67
WOODMERE,CT,B,,,14400,14401,B,20120,903,,10,34,67
WOODMERE,DR,B,,,5100,5124,B,20120,903,,10,34,67
WYNDHAM ROSE,CV,B,,,5101,5130,B,20120,903,,10,34,67
BROOKMERE,DR,B,,,14300,14412,B,20120,903,,10,34,67
CARRIAGE WAY,CT,B,,,14416,14420,B,20120,917,,10,34,67
Emerald Pool,DR,B,,,14386,14392,B,20120,917,,10,34,67
HAYSTACK,CT,B,,,14400,14407,B,20120,917,,10,34,67
KNOUGHTON,WAY,B,,,5200,5215,B,20120,903,,10,34,67
PALMETTO BAY,CT,B,,,5101,5119,B,20120,903,,10,34,67
PEMBERTON,LN,B,,,14350,14353,B,20120,917,,10,34,67
WESTFIELDS,BLVD,B,,,5001,5111,B,20120,903,,10,34,67
